SessionId	ItemId	Time
0	219	1000000000
0	4	1000000010
0	203	1000000020
0	83	1000000030
0	34	1000000040
0	1	1000000050
0	37	1000000060
0	15	1000000070
1	0	1000003059
1	446	1000003069
1	256	1000003079
1	5	1000003089
2	12	1000004374
2	55	1000004384
3	56	1000005201
3	25	1000005211
3	0	1000005221
3	453	1000005231
3	6	1000005241
3	1	1000005251
3	93	1000005261
3	22	1000005271
3	469	1000005281
3	39	1000005291
3	288	1000005301
3	128	1000005311
3	35	1000005321
3	0	1000005331
3	401	1000005341
3	69	1000005351
3	23	1000005361
3	0	1000005371
4	130	1000008386
4	89	1000008396
4	257	1000008406
4	3	1000008416
4	24	1000008426
4	4	1000008436
4	182	1000008446
4	30	1000008456
4	5	1000008466
4	71	1000008476
4	0	1000008486
4	267	1000008496
4	35	1000008506
4	24	1000008516
4	377	1000008526
4	160	1000008536
5	72	1000011948
5	54	1000011958
5	431	1000011968
5	270	1000011978
5	176	1000011988
5	61	1000011998
5	79	1000012008
5	438	1000012018
5	88	1000012028
6	11	1000012590
6	3	1000012600
6	0	1000012610
6	29	1000012620
6	24	1000012630
6	11	1000012640
6	0	1000012650
6	4	1000012660
6	148	1000012670
6	213	1000012680
7	377	1000013128
7	110	1000013138
7	360	1000013148
7	276	1000013158
7	35	1000013168
7	1	1000013178
8	162	1000013750
8	103	1000013760
8	322	1000013770
8	40	1000013780
8	1	1000013790
8	150	1000013800
9	46	1000014898
9	55	1000014908
9	30	1000014918
9	0	1000014928
9	1	1000014938
9	0	1000014948
9	102	1000014958
9	13	1000014968
9	50	1000014978
9	350	1000014988
9	7	1000014998
9	27	1000015008
9	182	1000015018
9	6	1000015028
9	0	1000015038
10	3	1000016830
10	382	1000016840
10	231	1000016850
10	101	1000016860
10	302	1000016870
10	226	1000016880
10	4	1000016890
10	329	1000016900
10	60	1000016910
10	230	1000016920
10	334	1000016930
10	14	1000016940
10	1	1000016950
10	6	1000016960
10	30	1000016970
10	241	1000016980
10	289	1000016990
10	0	1000017000
10	51	1000017010
10	28	1000017020
11	9	1000020386
11	7	1000020396
11	3	1000020406
11	5	1000020416
11	67	1000020426
11	26	1000020436
11	0	1000020446
11	8	1000020456
11	7	1000020466
11	138	1000020476
11	149	1000020486
11	2	1000020496
11	495	1000020506
11	9	1000020516
11	457	1000020526
11	27	1000020536
11	0	1000020546
11	17	1000020556
11	101	1000020566
11	128	1000020576
12	35	1000021722
12	65	1000021732
12	81	1000021742
12	1	1000021752
12	20	1000021762
12	7	1000021772
12	226	1000021782
12	40	1000021792
12	469	1000021802
12	25	1000021812
12	239	1000021822
12	221	1000021832
12	2	1000021842
13	138	1000022098
13	286	1000022108
13	14	1000022118
13	6	1000022128
13	148	1000022138
13	232	1000022148
13	17	1000022158
14	135	1000023962
14	23	1000023972
14	392	1000023982
14	2	1000023992
14	16	1000024002
14	1	1000024012
14	374	1000024022
14	309	1000024032
14	8	1000024042
14	115	1000024052
15	66	1000026515
15	57	1000026525
15	7	1000026535
15	1	1000026545
15	335	1000026555
15	340	1000026565
15	101	1000026575
15	16	1000026585
15	17	1000026595
15	159	1000026605
15	335	1000026615
15	322	1000026625
15	204	1000026635
15	105	1000026645
15	1	1000026655
15	3	1000026665
15	337	1000026675
16	21	1000026998
16	398	1000027008
16	452	1000027018
16	10	1000027028
17	44	1000027975
17	35	1000027985
17	489	1000027995
17	3	1000028005
17	0	1000028015
17	46	1000028025
17	3	1000028035
